vnnum: 45
vtnum: 30
                    ID     ;      [      NUM    ]      int    void   IDF    (      )      ,      {      }      if     else   while  return =      ID1    <=     <      >      >=     ==     !=     +      -      *      /      #      
S                   /      /      /      /      /      1      1      /      /      /      /      1      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      
program             /      /      /      /      /      2      2      /      /      /      /      2      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      
declaration-list    /      /      /      /      /      3      3      /      /      /      /      3      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      
declaration-list'   /      /      /      /      /      4      4      /      /      /      /      4      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      5      
declaration         /      /      /      /      /      7      7      /      /      /      /      7      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      
var-declaration     /      /      /      /      /      8      8      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      
var-declaration'    /      9      10     /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      
type-specifier      /      /      /      /      /      11     12     /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      
fun-declaration     /      /      /      /      /      13     13     /      /      /      /      14     /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      
params              /      /      /      /      /      15     16     /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      
params-list         /      /      /      /      /      17     17     /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      
params-list'        /      /      /      /      /      /      /      /      /      19     18     /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      
param               /      /      /      /      /      20     20     /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      
param'              /      /      22     /      /      /      /      /      /      21     21     /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      
compound-stmt       /      /      /      /      /      /      /      /      /      /      /      23     /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      /      
local-declarations  24     24     /      24     /      25     25     24     24     /      /      24     24     24     /      24     24     /      24     /      /      /      /      /      /      /      /      /      /      /      
local-declarations' 27     27     /      27     /      26     26     27     27     /      /      27     27     27     /      27     27     /      27     /      /      /      /      /      /      /      /      /      /      /      
statement-list      29     29     /      29     /      /      /      29     29     /      /      29     28     29     /      29     29     /      29     /      /      /      /      /      /      /      /      /      /      /      
statement-list'     30     30     /      30     /      /      /      30     30     /      /      30     31     30     /      30     30     /      30     /      /      /      /      /      /      /      /      /      /      /      
statement           32     32     /      32     /      /      /      32     32     /      /      33     /      34     /      35     36     /      32     /      /      /      /      /      /      /      /      /      /      /      
